molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL3954260,2190.5,nM,O=C1NC(=O)/C(=C/c2cnn3c(NCCN4CCOCC4)cc(Nc4cccc(Cl)c4)nc23)N1,5.659456742485806,True,<rdkit.Chem.rdchem.Mol object at 0x12e701190>
CHEMBL3917705,2200.2,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4cccc(F)c4)nc23)N1,5.657537839655754,True,<rdkit.Chem.rdchem.Mol object at 0x12e701200>
CHEMBL3954481,2204.6,nM,CC(C)CN1CCC(Nc2cc(Nc3cccc(Cl)c3)nc3c(/C=C4\NC(=O)NC4=O)cnn23)CC1,5.656670196922393,True,<rdkit.Chem.rdchem.Mol object at 0x12e701270>
CHEMBL3966714,2214.4,nM,Cc1cc(COc2cccc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)c2)no1,5.654743927223336,True,<rdkit.Chem.rdchem.Mol object at 0x12e7012e0>
CHEMBL3928053,2214.4,nM,CN(C)CCCOc1cccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,5.654743927223336,True,<rdkit.Chem.rdchem.Mol object at 0x12e701350>
CHEMBL3932791,2244.9,nM,O=C1NC(=O)/C(=C/c2cnn3c(SCc4ccccc4)cc(Nc4cccc(Cl)c4)nc23)N1,5.648803000057303,True,<rdkit.Chem.rdchem.Mol object at 0x12e7013c0>
CHEMBL3965468,2334.4,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(Nc4cccc(CN5CCCC5)c4)nc23)N1,5.631824725450624,True,<rdkit.Chem.rdchem.Mol object at 0x12e701430>
CHEMBL3962682,2382.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4csc(C(=O)O)c4)nc23)N1,5.623058242853242,True,<rdkit.Chem.rdchem.Mol object at 0x12e7014a0>
CHEMBL3950281,2403.2,nM,CS(=O)(=O)Nc1cccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,5.619210084675926,True,<rdkit.Chem.rdchem.Mol object at 0x12e701510>
CHEMBL3917549,2405.8,nM,NCc1ccc(Nc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)cc1,5.618740479451152,True,<rdkit.Chem.rdchem.Mol object at 0x12e701580>
CHEMBL3928659,2407.6,nM,COC(=O)CN1CCC(Nc2cc(Nc3cccc(Cl)c3)nc3c(/C=C4\NC(=O)NC4=O)cnn23)CC1,5.618415665347248,True,<rdkit.Chem.rdchem.Mol object at 0x12e7015f0>
CHEMBL3896788,2438.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCC(F)F)nc23)N1,5.612966298717637,True,<rdkit.Chem.rdchem.Mol object at 0x12e701660>
CHEMBL3978531,2449.1,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CCNCC4)cc(Nc4cccc(Cl)c4)nc23)N1,5.610993481693768,True,<rdkit.Chem.rdchem.Mol object at 0x12e7016d0>
CHEMBL3933040,2479.9,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4cccc(C(F)(F)F)c4)nc23)N1,5.605565831401126,True,<rdkit.Chem.rdchem.Mol object at 0x12e701740>
CHEMBL2006765,2480.0,nM,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,5.605548319173783,True,<rdkit.Chem.rdchem.Mol object at 0x12e7017b0>
