molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3954352,19744.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(OCc4ccccc4Cl)nc23)N1,4.704564857646853,425.10031505200004,8,3,2.1113,True
CHEMBL4114367,19928.0,nM,C[C@@H](NC(=O)Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)C1CC1,4.70053628547155,410.181486564,7,5,1.4038999999999995,True
CHEMBL3961330,21326.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4ccc(N5CCCCC5)cc4)nc23)N1,4.671090595128812,458.2178720720001,8,4,3.2178000000000013,True
CHEMBL3893550,23660.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4ccc(F)cc4F)nc23)N1,4.625985259708089,439.1204437800001,7,4,2.0143999999999997,True
CHEMBL3901301,24910.0,nM,CCNC(=O)Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1,4.603626272463494,370.150186436,7,5,0.6253000000000001,True
CHEMBL3948275,25886.0,nM,CC(C)(C)CC(=O)Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1,4.5869350531625885,397.18623759600007,7,4,1.8585999999999994,True
CHEMBL3901300,26323.0,nM,C[C@H](Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1cc(Cl)ccc1F,4.579664616228338,455.12727874800004,7,4,3.4495000000000013,True
CHEMBL4112650,28144.0,nM,C[C@@H](Oc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1ccccn1,4.550614177886614,406.150186436,9,3,1.4138999999999997,True
CHEMBL3932116,28649.0,nM,CC(C)(C)OC(=O)N1CCOC(C(=O)Nc2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)C1,4.542890532581805,512.2131806160002,10,4,1.0583000000000016,True
CHEMBL3963684,29314.0,nM,COc1cc(Cl)ccc1C(=O)Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1,4.532924916484793,467.1108797360001,8,4,2.3981999999999997,True
CHEMBL3895196,31641.0,nM,COc1cccc(NC(=O)Nc2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,4.499749799269842,448.16075112000004,8,5,2.1365,True
CHEMBL3963356,32822.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(OCc4ccc(Cl)cc4)nc23)N1,4.483834958855757,425.10031505200004,8,3,2.1113,True
CHEMBL3926977,34040.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4ccncn4)nc23)N1,4.4680104485874494,405.1297853400001,9,4,0.5261999999999997,True
CHEMBL4550702,35000.0,nM,Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,4.455931955649724,406.08236469600007,7,1,3.150400000000001,True
CHEMBL3918043,35033.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4cc(Cl)ccc4F)nc23)N1,4.455522670913571,455.09089324000007,7,4,2.5286999999999997,True
CHEMBL3976552,36311.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4ncc(Cl)cc4Cl)nc23)N1,4.439961790511464,444.0616770480001,8,4,2.9293000000000005,True
CHEMBL3907165,38513.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(N4CCN(C(=O)C5CC5)CC4)nc23)N1,4.414392650354162,436.19713662800007,8,3,0.5424999999999998,True
CHEMBL3933278,39441.0,nM,COc1ccnc(COc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,4.404052082347048,422.14510105600004,10,3,0.8614999999999995,True
CHEMBL3935721,41017.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(N4CCN(C(=O)C5CC5(F)F)CC4)nc23)N1,4.387036107280458,472.17829300400007,8,3,0.7876999999999998,True
CHEMBL3921670,41170.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(N4CCN(C(=O)C5CCC5)CC4)nc23)N1,4.385419133002514,450.21278669200007,8,3,0.9325999999999997,True
CHEMBL3963553,41784.0,nM,Cc1ccc(C(=O)Nc2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)cc1F,4.378989987171063,435.14551565600004,7,4,2.18372,True
CHEMBL3966391,42842.0,nM,CC(=O)N1CCN(c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1,4.368130263127548,410.181486564,8,3,0.1524000000000008,True
CHEMBL3966720,45534.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)C4CNCCO4)nc23)N1,4.341664196789923,412.16075112000004,9,5,-0.5891999999999988,True
CHEMBL3892345,47119.0,nM,COc1c(F)cccc1Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1,4.326803935094689,423.14551565600004,8,4,2.3751999999999995,True
CHEMBL3941212,51843.0,nM,CC(C)(C)OC(=O)N1CCN(c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1,4.285309875082139,468.22335137600004,9,3,1.5409999999999995,True
CHEMBL3893658,52820.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(N4CCN(C(=O)CN5CCOCC5)CC4)nc23)N1,4.277201603129095,495.2342504080001,10,3,-0.5352999999999966,True
CHEMBL3974122,60724.0,nM,CC1(C(=O)N2CCN(c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)CC2)CC1,4.216639628405217,450.212786692,8,3,0.9326000000000002,True
CHEMBL3911024,65249.0,nM,CC(C)N1CCN(c2ccc(Oc3nc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)cc2)CC1,4.185426139894814,503.23933578800006,10,3,2.201599999999999,True
CHEMBL3928283,70354.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(N4CCN(C(=O)C5(C(F)(F)F)CC5)CC4)nc23)N1,4.15271120557049,504.1845212560001,8,3,1.4749999999999996,True
CHEMBL3934858,80785.0,nM,Nc1cc(Nc2cc(Cl)ccc2F)nc2c(/C=C3\NC(=O)NC3=O)cnn12,4.092669270685602,387.06467849200004,7,4,2.0279,True
CHEMBL3983580,87627.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4ncc(C(F)(F)F)cc4Cl)nc23)N1,4.057362056568207,478.0880340280001,8,4,3.2947000000000006,True
