molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL1940842,176.24,nM,Cc1ccc2nc(Cl)c(/C=C/C(=O)c3ccc(C)s3)cc2c1,6.753895515857289,True,<rdkit.Chem.rdchem.Mol object at 0x1256a14a0>
CHEMBL222067,177.0,nM,Cc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1Nc1ncccc1-c1ccncn1,6.752026733638193,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1510>
CHEMBL4247248,177.0,nM,Cc1cc(-c2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)c2c(N)onc2n1,6.752026733638193,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1580>
CHEMBL1242750,178.0,nM,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCCCC1,6.7495799976911055,True,<rdkit.Chem.rdchem.Mol object at 0x1256a15f0>
CHEMBL5208397,178.0,nM,CCOC(=O)[C@H](Cc1c[nH]c2ccccc12)NCC(=O)NNC(=O)COc1ccc(-c2nc3ccccc3s2)cc1OC,6.7495799976911055,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1660>
CHEMBL191107,180.0,nM,Clc1cccc(Nc2cncc(-c3cncc(NCCCN4CCOCC4)c3)n2)c1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a16d0>
CHEMBL213743,180.0,nM,CN1CCN(Cc2ccc3c(c2)-c2[nH]nc(-c4ccsc4)c2C3)CC1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1740>
CHEMBL3690539,180.0,nM,COc1ncc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)cc1C,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a17b0>
CHEMBL3323605,180.0,nM,Brc1ccc(-c2nc3ccc(Nc4ccnc5ccccc45)cc3[nH]2)cc1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1820>
CHEMBL4448243,180.0,nM,COc1cccc(Nc2ncc3c(n2)-c2cccnc2SC3)c1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1890>
