molecule_chembl_id,smiles,pIC50,ROMol,tanimoto_maccs,tanimoto_morgan,dice_maccs,dice_morgan
CHEMBL1082831,COc1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1,7.2839966563652,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb571c0>,0.5135135135135135,0.2222222222222222,0.6785714285714286,0.36363636363636365
CHEMBL3685291,COc1ccc(C(=O)Nc2cccc([C@@H](CCN3CCCC3)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.10790539730952,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb4d880>,0.42857142857142855,0.2215568862275449,0.6,0.3627450980392157
CHEMBL3685219,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(CN5CCOCC5)cc34)c2)cc1,7.568636235841012,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb729a0>,0.410958904109589,0.2215568862275449,0.5825242718446602,0.3627450980392157
CHEMBL3685288,COc1ccc(C(=O)Nc2cccc(C(CCN3CCCC3)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.113509274827518,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb4d7c0>,0.42857142857142855,0.2215568862275449,0.6,0.3627450980392157
CHEMBL3675511,COCCC(Nc1ncnc2c(C(N)=O)cccc12)C1=CCCC(NC(=O)c2cc(F)ccc2F)=C1,9.200659450546418,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bbadfa0>,0.45714285714285713,0.22151898734177214,0.6274509803921569,0.3626943005181347
CHEMBL3935219,CC(C)OC(=O)CCC(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccccc4)cc23)c1,6.503070351926786,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb6bca0>,0.34146341463414637,0.22151898734177214,0.509090909090909,0.3626943005181347
CHEMBL3675450,COCCC(Nc1ncnc2c(C(N)=O)cccc12)C1=CCCC(NC(=O)c2ccc(F)cc2F)=C1,9.2839966563652,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bbad700>,0.45714285714285713,0.22151898734177214,0.6274509803921569,0.3626943005181347
CHEMBL3680489,CCOC(=O)c1ccc(C(=O)NC2=CCCC([C@H](C)Nc3ncnc4c(C(N)=O)cccc34)=C2)cn1,9.638272163982409,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bba0ca0>,0.37681159420289856,0.22151898734177214,0.5473684210526316,0.3626943005181347
CHEMBL2063448,Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12,5.320572103387882,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b85c40>,0.43283582089552236,0.2214765100671141,0.6041666666666666,0.3626373626373626
CHEMBL2064532,N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)cc1,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b89a00>,0.4307692307692308,0.2214765100671141,0.6021505376344086,0.3626373626373626
