chembl_id,smiles,IC50[nM]
CHEMBL255865,O(/N=C/c1c(Nc2cc3c(n(Cc4cc(C#N)ccc4)nc3)cc2)ncnc1N)C,20.0
CHEMBL57170,Fc1c(OC)ccc(C=C(C#N)C#N)c1,800000.02
CHEMBL55979,O=C(NC(C)c1ccccc1)/C(/C#N)=C/c1cc(O)c([O-])cc1,400.0
CHEMBL1630117,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(-c2oc(C(=O)NO)cc2)cc3)c1,3.9
CHEMBL324045,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(OCC)c(OCC)c3)c1,977.24
CHEMBL4062192,Fc1c(N2C(=O)N([C@@H]3CN(C(=O)CC)CC3)c3nc(Nc4cc(C)c(N5CCCCC5)cc4)ncc3C2)cc(OC)cc1,467.0
CHEMBL3671547,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)CC)c(OCCNC(=O)C)c3)cc1,866.0
CHEMBL112096,O(C)c1c(OC)cc2ncc(C#N)c(Nc3c(C(C)C)cccc3)c2c1,363.08
CHEMBL330668,O(C)c1c(OC)cc2ncnc(Nc3nc4c(nc3)cccc4)c2c1,780.0
CHEMBL1203934,Fc1ccc(Nc2ncnc3c2cc(OC)c(OC)c3)cc1,51.0
CHEMBL425601,Clc1c(F)c(Nc2ncnc3c2cc(CN(C)C2(C(=O)N)CN(C(C)C)C2)c(OC)c3)ccc1,9.0
CHEMBL205870,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#C)cncn2)c1,85.0
CHEMBL3085277,N([C@@H](C)c1ccccc1)c1ncnc2c1sc1c2cccc1,538.0
CHEMBL474343,O=C(NC=1c2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2CC=1)C=C,5.75
CHEMBL45068,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1[O-],24999999.5
CHEMBL3218347,Brc1cc(Nc2ncnc(Nc3cc(NC(=O)CC)ccc3)c2)ccc1,136.0
CHEMBL4064937,Clc1c(N2C(=O)N([C@@H]3CN(C(=O)C4CC4)CC3)c3nc(Nc4cc(C)c(N5CC[NH+](C)CC5)cc4)ncc3C2)cccc1,28.7
CHEMBL1242661,O(CC)c1cc2c(cc(-c3nn(C)c4ncnc(N)c34)cc2)cc1,21000.01
CHEMBL111688,FC(F)(F)c1c(F)ccc(Nc2c(C#N)cnc3c2cc(OC)c(OC)c3)c1,158.49
CHEMBL480348,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3sc(-c4[nH]c(C[NH2+]CC)cc4)cc23)c1,121.0
CHEMBL1170459,O=[N+]([O-])c1n(CCOC(=O)/C=C/c2cc3c(cc2)cccc3)c(C)nc1,5760.0
CHEMBL77524,O=C([O-])/C(/C#N)=C/c1ccc(OC)cc1,833000.0
CHEMBL56201,O=C1N(C)c2c(C1=C(C#N)C#N)cc(O)cc2,26000.0
CHEMBL3800262,O=C(Nc1cc(C(=O)C)ccc1)c1[nH]c2c(c1)cccc2,56999.97
CHEMBL3671497,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)N)c3)cc1,4.0
CHEMBL3957416,S(=O)([O-])(=Nc1ccc(Nc2ncnc3c2cc(NC(=O)/C=C/CN2CCOCC2)c(OCC)c3)cc1)c1ccccc1,14.0
CHEMBL2408824,Clc1c(Oc2ccc(CCOc3c(S(=O)(=O)c4ccccc4)[n+]([O-])on3)cc2)nc(Nc2c(OC)cc(N3CC[NH+](C)CC3)cc2)nc1,2940.0
CHEMBL345837,S(Sc1n(C)c2c(c1C(=O)Nc1cc(C(=O)[O-])ccc1)cccc2)c1n(C)c2c(c1C(=O)Nc1cc(C(=O)[O-])ccc1)cccc2,12000.0
CHEMBL2437474,O(C)c1ccc(N2C(=O)C=Nc3c2nc(Nc2cc(N)ccc2)nc3)cc1,18280.0
CHEMBL598611,O=C(NO)CCCCCCOc1c(OC)cc2c(Nc3cc(C#C)ccc3)ncnc2c1,8.2
CHEMBL35820,Brc1cc(Nc2ncnc3c2cc(OCC)c(OCC)c3)ccc1,0.01
CHEMBL3416593,O(C)c1c(-c2sc3ncnc(N[C@@H](CO)c4ccccc4)c3c2)cccc1,629.0
CHEMBL378145,Brc1cc(Nc2ncnc3Oc4c(cc(Cl)cc4)CNc23)ccc1,3400.0
CHEMBL1958220,Clc1ccc(C2N(C=3SCC(=O)N=3)N=C(c3ccc(OC)cc3)C2)cc1,5350.0
CHEMBL4111809,Fc1c(Nc2nc3n(C(C)C)c(Nc4cc(NC(=O)C)ccc4)nc3cn2)ccc(C(=O)N[N+]2=CCN(C)CC2)c1,25.0
CHEMBL36164,Brc1cc(Nc2ncnc3c2cc2c(C[NH+](CCO)CCO)c[nH]c2c3)ccc1,3.47
CHEMBL3908303,N([C@H](C)c1ccccc1)c1ncnc2oc(-c3ccccc3)cc12,11.0
CHEMBL3671530,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)C([NH+](C)C)C)c3)cc1,125.0
CHEMBL511990,Clc1c(F)ccc(Nc2ncnc3nc(Nc4ccc(C[NH+]5[C@H](CO)CCC5)cc4)sc23)c1,11.0
CHEMBL4093114,Brc1cc(Nc2ncnc3c2cc(NC(=S)Nc2c(F)c(C(F)(F)F)ccc2)cc3)ccc1,112.4
CHEMBL2325101,Clc1c(Cl)ccc(C2=NN(c3ccccc3)C(c3cc4c(cc3)cccc4)C2)c1,50.0
CHEMBL53310,N(C)c1nc2c(Nc3ccccc3)ncnc2cn1,13.18
CHEMBL51028,Clc1c(c(Cl)ccc1)-c1c(NC(=O)NC2CCCCC2)nc2nc(NCCCN3CC[NH+](C)CC3)ncc2c1,880.0
CHEMBL1928954,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc(Oc3cc(NC(=O)/C=C/c4ccccc4)ccc3)c2)c1,1671.0
CHEMBL2064388,O=C1N(CCC[NH+]2CCOCC2)c2c(O1)cc1ncnc(Nc3c(O)cccc3)c1c2,30000.01
CHEMBL3943512,O=C(Nc1c(OC)cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1)CC,65.0
CHEMBL354310,O=C(NCCO)C1CC(n2c3ncnc(N)c3c(-c3cc(OC)ccc3)c2)C1,330.0
CHEMBL3263364,O(C)c1ccc(C2=NN(C=3SCC(=O)N=3)C(c3c4c(ccc3)cccc4)C2)cc1,5530.0
CHEMBL461114,Clc1c(OCc2ccccc2)ccc(Nc2c(C(=O)Nc3ccccc3)c(N)ncn2)c1,76.0
CHEMBL3671564,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)N2CC[NH2+]CC2)c3)cc1,698.0
CHEMBL424853,Clc1c(F)ccc(Nc2ncnc3Oc4c(cc(F)cc4)CNc23)c1,1000.0
CHEMBL1241773,O=C(C)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,12000.0
CHEMBL2325108,Clc1c(Cl)ccc(C2=NN(C(=S)N)C(c3c4c(ccc3)cccc4)C2)c1,210.0
CHEMBL257872,O(CC[NH+]1CCC(O)CC1)c1n[nH]c2ncnc(Nc3cc(C)c(Oc4cnc(C)cc4)cc3)c12,216.0
CHEMBL325589,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(Nc3cnccc3)ncc2C=1,510.0
CHEMBL2048789,Clc1c(Oc2cc3C(=O)NCc3cc2)ccc(Nc2ncnc3c2n(CCO)cc3)c1,7.8
CHEMBL329672,Clc1cc(Nc2ncnc3c2cccc3)ccc1,23.0
CHEMBL3671493,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCCCNC(=O)C)c3)cc1,10.0
CHEMBL1241683,Clc1nc2c(cc(-c3nn(C(C)C)c4ncnc(N)c34)cc2)cc1,100000.0
CHEMBL3219502,Clc1cc(Nc2ncnc3c2cc(c(OC)c3)B2OC(C)(C)C(C)(C)O2)ccc1,490.0
CHEMBL489111,O=C(Nc1c(OCCC[NH+]2CCOCC2)cc2ncnc(Cc3cc(C)ccc3)c2c1)C=C,1.51
CHEMBL4105503,O=C(CC)N1C[C@@H](N2C(=O)N(c3cc(OC)ccc3)Cc3c2nc(Nc2cc(C)c(N4CC[NH+](C)CC4)cc2)nc3)CC1,417.0
CHEMBL1243345,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(CCF)C)c(OCC)c3)c1,0.8
CHEMBL402339,Fc1cc(COc2c(OC)cc(Nc3ncnc4[nH]nc(OCC[NH+]5CCC(O)CC5)c34)cc2)ccc1,13.0
CHEMBL321193,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(Nc3cc(O)ccc3)ncc2C=1,150.0
CHEMBL3774926,O=C1N(CCC[NH+]2CCOCC2)c2c(OC1)cc1ncnc(Nc3cc(C#C)ccc3)c1c2,139.0
CHEMBL1242201,O(C)c1c(O)cc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,437.0
CHEMBL3655341,Clc1c(F)ccc(Nc2ncnc3sc4c(c23)CCN(C(=O)/C=C/C[NH+](CCOC)CCOC)C4)c1,1.0
CHEMBL2347964,O=C(Nc1ccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)cc1)C,179.0
CHEMBL296407,O=C(N)/C(/C#N)=C/c1cc(O)c([O-])cc1,4000.0
CHEMBL2322329,Clc1c(Oc2cc(C(F)(F)F)ccc2)ccc(Nc2ncnc3c2n(CCNC(=O)/C=C/C[NH+](C)C)cc3)c1,4.6
CHEMBL592707,O=C1NC(=N/N=C/c2ccc(C)cc2)SC1,3260.0
CHEMBL1272168,O=C(C=C)N1Cc2sc3ncnc(N[C@@H](CO)c4ccccc4)c3c2CC1,3057.0
CHEMBL116525,Brc1cc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)c(OC)c3)ccc1,910.0
CHEMBL3234747,FC(F)(F)c1c(CN2CC[NH+](C)CC2)ccc(NC(=O)c2cc(NC(=O)c3cnc(NC4CC4)nc3)c(C)cc2)c1,44.0
