id,smiles,QED,Lipinski,CNS
76,C.COc1ccc(-c2nn(C[C@@H](C)CO)c3ncnc(N)c23)cc1OC.Cl,0.6600089980951882,True,False
77,C.CC(C)n1nc(-c2ccc(CC#N)cc2)c2c(N)ncnc21.Cl,0.7798362284233868,True,False
78,C.Cl.Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2CC1CCNCC1,0.630801872378999,True,False
79,C.CCOc1cc(-c2nn(CCO)c3ncnc(N)c23)ccc1OC.Cl,0.6748027162281689,True,False
80,C.CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21.Cl,0.5878056580114408,True,False
81,C.CC(C)n1nc(-c2ccc3[nH]c(=O)[nH]c3c2)c2c(N)ncnc21.Cl,0.5069210672344886,True,False
82,C.CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC.Cl,0.7167915380316096,True,False
83,C.CC(C)n1nc(-c2ccc3ccncc3c2)c2c(N)ncnc21.Cl,0.5797558465863137,True,False
84,C.CC(C)n1nc(-c2ccc3c(c2)OCCO3)c2c(N)ncnc21.Cl,0.7493637011680754,True,False
85,C.CC(C)n1nc(-c2cccc(C#N)c2)c2c(N)ncnc21.Cl,0.7745549404049853,True,False
86,C.CC(C)n1nc(-c2ccc3cnccc3c2)c2c(N)ncnc21.Cl,0.5797558465863137,True,False
87,C.CC(C)n1nc(-c2ccc(S(N)(=O)=O)cc2)c2c(N)ncnc21.Cl,0.7123074624964677,True,False
88,C.CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21.Cl,0.592303378815284,True,False
89,C.CC(C)n1nc(-c2cccnc2)c2c(N)ncnc21.Cl,0.7862671503325361,True,False
90,C.CC(=O)c1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1.Cl,0.7254571012304827,True,False
91,C.CC(=O)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1.Cl,0.7254571012304827,True,False
92,C.CC(C)n1nc(-c2ccn3ccnc3c2)c2c(N)ncnc21.Cl,0.601535754492589,True,False
93,C.COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1.Cl,0.7886476356079632,True,False
94,C.CCOc1ccc(-c2nn(C3CCCCC3)c3ncnc(N)c23)cc1OC.Cl,0.6222943908403956,False,False
95,C.COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O.Cl,0.7495433244624256,True,False
96,C.Cc1ccc2ccc(-c3nn(C(C)C)c4ncnc(N)c34)cc2n1.Cl,0.55837708796089,True,False
97,C.CC(C)n1nc(-c2cccc(NS(C)(=O)=O)c2)c2c(N)ncnc21.Cl,0.6970717764509313,True,False
98,C.CC(C)n1nc(-c2ccc3[nH]c(=O)ccc3c2)c2c(N)ncnc21.Cl,0.5596791277549268,True,False
99,C.COc1ccc(-c2nn(C[C@H](C)CO)c3ncnc(N)c23)cc1OC.Cl,0.6600089980951882,True,False
100,C.COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC.Cl,0.7573447645603693,True,False
101,C.COc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1OC.Cl,0.7418182331375954,True,False
102,C.CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21.Cl,0.7611774565928356,True,False
103,C.COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC.Cl,0.7021030083718156,True,False
104,C.CC(C)n1nc(-c2cncnc2)c2c(N)ncnc21.Cl,0.7811909103517839,True,False
105,C.COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F.Cl,0.7729620788512503,True,False
106,C.CC(C)n1nc(-c2cccc(CO)c2)c2c(N)ncnc21.Cl,0.7666686084245591,True,False
107,C.CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC.Cl,0.7167915380316096,True,False
